region,count
2378,636251
2377,519626
2086,1271689
2085,1174963
2094,401932
2093,433571
1614,29226
1630,9942
1613,33227
2060,606996
2030,26999
2059,625186
2136,1012598
0,686877
1632,2112
2146,702955
42,1181
334,8
108,148
140,56
136,160
2510,152
51,2586
53,1083
1629,24026
2029,31321
1631,6856
105,216
107,574
333,159
2135,953134
2145,607766
2153,515123
332,99
55,209
141,448
671,241
41,501
139,195
183,155
169,194
459,35
167,472
181,12
109,117
113,286
338,107
56,197
390,4
674,10
252,153
206,237
2101,84475
2051,300733
485,207
19,193
2154,593773
91,34
251,233
249,91
168,160
40,211
2102,100906
486,314
484,848
2602,3922
2052,297494
43,177
935,1030
2491,364
1,4115
20,35
1677,494
2601,7965
483,1135
280,125
250,130
2161,297241
96,160
455,1
93,46
950,17
2397,508
1147,544
2379,747
480,16825
1678,578
2162,479477
1779,3426
1911,1
1871,2635
1129,7
2405,2
759,18581
781,3577
2319,627
1863,377
761,860
811,9448
2255,79
2177,120540
2178,179441
1137,1
1864,177
833,1762
1767,2665
1837,14
1851,38
1121,636
1780,1637
1771,78
2461,44
1768,2457
1885,3056
812,1358
2320,146
1852,97
1838,5
1886,6667
1872,2412
1947,1
782,97272
2214,7
1910,134
2282,1354
2462,7
2,239
177,71
133,212
375,205
602,53
695,111
373,136
404,2
1111,4
1825,24
1826,11
1977,176
2259,141
1222,68
2360,5092
2256,24
2260,23
2272,169
1884,3099
2606,1444
2594,718
2186,60506
1223,67
2185,47982
925,70
915,613
1914,148
2218,5627
1224,21
1840,149
1842,2
1846,20
1647,247
2563,65
2564,42
2217,528
1978,71
1218,345
2593,2772
2605,1171
2587,1486
916,1
2362,207
760,12665
834,3196
1011,1209
1119,2397
1432,2
1606,22
1897,18
2016,4
1898,328
2241,6
2276,9
2275,20
2415,12
2416,3
1896,8
1895,30
654,7
401,49
403,90
653,17
656,15
2110,108417
2196,25716
2118,55384
762,179
152,282
44,349
149,544
2197,38713
2169,124086
2109,105683
536,473
532,486
205,551
278,279
551,97
2195,20924
2117,44718
2391,3
46,35
2398,1
1706,149
2170,163029
2203,4
949,1
2345,5848
549,1192
535,3831
537,2958
522,3
550,11
2198,61952
54,8791
207,235
95,32
94,110
150,317
2495,985
147,86
547,139
1338,4
2389,51
1007,895
1407,152
1291,114
1283,60
1605,62
1431,3
1609,199
2007,4904
1727,1
1733,8
1824,79
1994,1
2008,5550
1292,190
1610,16
2010,6738
1784,1182
2006,6389
2359,4487
2271,158
1227,83
1883,1673
1072,1
1913,120
1839,12
1847,11
1148,109
2404,376
1408,129
2265,14
1983,2
1653,158
1707,30
1828,1
1654,93
1648,319
2005,2899
2009,2261
1835,8
1841,2
1957,4
1893,107
1296,77
1290,238
1284,14
2014,17
1836,594
1848,49
1221,288
2403,300
1300,185
2266,7
799,160
2603,5012
1862,1
1993,2
2604,3419
1889,2
377,116
715,106
379,118
667,3
1622,39
162,39
134,134
161,229
137,98
380,4
138,2
192,29
673,395
712,197
52,38888
164,234
208,146
115,123
2433,79
479,152
2285,72
151,114
195,59
110,69
1627,183
196,84
2392,240
1781,4601
2357,358
2355,3055
2349,2218
1953,2707
521,98
523,112
2201,2770
2346,6618
2126,14000
472,294
1823,245
2041,3749
2125,16724
2199,10996
1954,6654
1782,5540
2350,5617
2358,2112
2356,5249
210,87
2042,2693
1343,1
1633,4
519,15
2200,7693
531,79
2012,12623
2202,3705
520,13
524,21
2425,5
1299,22
2361,582
2017,131
729,59
233,83
2496,2
2011,11739
2219,2
1857,7
2435,71
2387,64
563,1
1372,2
1858,14
1783,2279
1295,37
1340,35
1304,2
2018,499
753,388
755,2119
575,95
2204,11
2436,49
1371,51
2279,179
585,155
2220,506
1708,140
1298,136
1302,5
1310,32
2280,191
743,39
741,75
1821,6
1869,263
1008,4
1870,5
1297,25
232,13
1400,16
1339,188
1309,48
