region,count
0,102175513
233,384
235,46
725,58
727,84
723,90
751,167
749,96
203,1651
231,685
205,9305
739,51
737,111
993,3828
991,31
575,440
573,18
305,81
303,12
2177,1725
833,21410
1119,23725
2389,34
1123,3873
2481,337
2587,20068
1111,2004
2491,19178
1,94809
915,96946
1121,1079
2387,6404
1007,1456
1011,709
1089,17982
1033,111
93,48824
91,8251
95,35920
105,7979
109,76888
107,98436
207,10629
147,13813
149,61319
249,347
277,392
251,539
247,253
291,35
289,12
111,33214
1071,90738
1029,213
579,7433
1147,1291352
581,891
755,189
757,18
759,1563948
577,2707
1115,17239
1143,52702
97,30851
99,46019
209,18660
211,30321
151,75987
153,69169
281,2215
283,658
253,816
279,681
293,175
295,388
297,177
255,548
219,122
223,7558
225,19079
237,356
227,997
241,2551
239,3335
213,7191
2397,36244
2379,19739
2435,9376
731,469
733,115
2433,32860
935,48423
439,19
753,1304
729,1195
2393,17700
285,45
311,617
309,824
889,852
1131,33
899,215
563,2398
1025,204
1001,1990
561,913
1129,764
2377,86693
925,1857
313,121
437,91
2399,669
217,115
696,9972
698,57852
374,9146
348,42907
346,5237
402,4025
376,48085
404,24305
162,2053
164,53275
136,54084
134,2795
192,13626
190,6451
178,20845
176,628
1034,315
1048,1812
1030,663
1026,274
1020,1399
1018,1789
2136,32590
224,2748
568,2545
226,4787
566,4218
1148,426631
156,30539
228,42
214,10466
212,70687
2146,17230
2378,65661
2204,61275
1416,33039
2,114714
2496,61955
2492,29196
936,64094
952,5830
954,29505
1064,400
1072,62152
1222,38251
562,1495
564,1210
2404,72926
1408,107022
2434,85067
2436,23748
2520,8066
2154,1168
916,47118
1090,20131
910,10367
154,46861
158,1407
2380,28790
2392,602
2398,49536
40,7285
42,163905
44,104043
1144,18654
2594,15759
2588,27917
1330,154512
1328,27226
2510,30984
2394,31647
1056,7413
384,2175
382,34162
396,5
46,18116
950,59064
1012,1712
2186,12460
2178,1447
1120,12077
1124,11702
1128,16802
2482,2742
2388,4411
1130,424
1194,15720
834,20314
760,1578305
1122,719
1112,2416
926,879
168,36944
166,26656
152,31944
150,39271
170,21345
198,9742
196,27180
194,21772
100,31933
98,13108
116,8138
114,51097
112,48987
110,62389
184,1280
182,7649
2400,4611
186,56
706,366
704,3732
716,7654
718,4747
720,720
380,78424
378,42968
200,413
2162,1133
588,4036
1116,5249
570,881
1138,1398
900,358
1132,294
102,2225
606,11383
108,52325
180,12301
702,12196
700,13239
714,5143
712,7250
138,22490
140,30818
408,26879
406,11808
586,3205
592,924
590,2217
2236,72864
1218,15755
2170,10832
655,12574
653,11737
659,13026
2213,938300
761,21099706
51,7048
53,13178
483,16
455,1542
457,475
55,14511
2024,12
1871,5498
1955,35
2459,63
2028,4
1969,1701
2026,5
2319,7496
2025,7
2023,423
1975,91
2276,560
667,67948
1621,145723
1623,45479
671,61683
1619,97123
1669,31875
469,832
471,199
1629,2410
2085,32529
673,168095
675,38084
677,37
2487,2810
459,230
473,77
461,459
467,219
762,20447344
2214,1029537
547,6967
535,530
531,360
537,54
485,138
1693,3070
1691,838
1613,50908
1695,151
1699,651
1667,1197
1663,557
1677,5606
1665,144
2599,18908
2575,139
2593,5426
1425,304
1697,188
2511,83
2495,33702
949,79270
953,28370
951,6922
2391,1416
1177,3118
1175,2541
1181,191
1239,466
2059,11449
1631,1796
2029,13571
532,1439
494,332
499,167
497,4
821,85
2093,54860
2283,1
1740,4484
2464,89
1753,13
1739,659
1748,158
1761,175
1754,98
1614,25968
1851,523
2351,1
1721,400
2125,35722
2117,17163
1431,158173
1501,20261
1502,23182
1432,68744
1553,97089
1441,15587
1442,13971
1463,9454
2600,27143
1284,68406
1390,10323
1283,15811
1389,6409
1392,1208
1516,32496
1391,1834
1566,4240
1565,3432
1465,4727
1466,2994
1586,4921
1585,4853
1238,8348
1237,12424
1236,516
1490,10215
1478,3898
1472,3383
1488,145
1477,3497
1554,5241
1487,32
1653,28952
1719,5
1767,8434
1865,54
1763,893
812,17100
2603,2768
2561,25
1758,10
1743,1052
1744,35
1371,9192
1369,344
1385,21334
2573,545
2243,338
1685,2
2051,7402
1403,675
1311,94
1679,10
1386,14459
1387,10654
1398,430
2101,396
2601,3190
799,77
800,271
1235,814
1957,2788
1991,4
2015,9
1947,19
1827,5809
1951,1657
1768,4515
1826,1353
1872,8353
1828,4049
2320,1082
1956,60
2417,1
1681,17
1683,14
2241,6
1709,1
1717,7
1396,562
1397,39
1361,944
1678,7956
782,335629
781,163888
1395,1175
1370,119
2203,74589
2223,47069
2345,1127
2195,12378
2109,80
661,11118
479,13
981,2278
2509,32495
909,7095
2493,106
493,4
1627,1645
1755,291
1745,987
1746,56
1747,10
1741,3
1852,272
1823,2081
1993,180
2007,6697
1504,22207
1464,12855
1542,1337
1562,193
1541,1901
1531,802
1532,892
1536,1349
1540,2462
1866,11
1861,435
1862,49
1480,8986
1476,999
1492,101
1491,67
1468,5858
1576,4909
1564,267
