region,count
0,81001278
2415,5771
1871,173459
2275,8212
1808,12010
2276,13672
1768,109379
1872,207905
1936,6902
2358,11696
1986,1130
1966,471
2416,14641
1970,2157
2026,47
1956,317
1612,6
1144,23485
760,26422
2462,6077
1965,1909
2357,3378
2461,3231
1155,1833
1767,70746
1807,8730
1604,42
2204,41956
2234,1695
1955,166
2025,16
2319,18828
1985,5010
1935,3381
1997,869
2364,535
2236,18548
1810,1918
1998,519
2378,6476877
2198,729479
2030,345667
1954,48868
2196,564011
2170,2344342
2110,1874115
2118,2618894
762,44140
1338,26453
1614,140089
1690,37610
1284,30945
1342,3909
1670,49481
1668,29509
1706,7906
2060,3726267
2052,1732997
1664,3478
1654,71108
1366,52894
950,8330
2,153472
2588,6369
2162,7454198
2496,9785
782,5656
776,3681
524,21681
554,85
556,126
2386,924
542,40
540,85
504,6
2220,133
778,25
2145,5091122
2153,4408748
2377,4278763
2397,64154
1147,238995
2379,18066
2587,11692
153,16439
211,33330
101,1577
99,27482
213,2459
2135,7618545
151,1617
44,84105
42,60894
152,95034
154,155581
156,61880
2398,38989
2380,9406
158,2887
1148,311284
2146,6929798
2154,6306621
1048,136
1018,9
2136,9142836
102,1097
40,3129
936,36113
2492,10331
1064,25927
1026,62
1020,2
2404,98305
2434,13757
2197,635434
2169,2378620
2161,3950940
2495,2624
1,154998
1329,51187
1327,8686
1331,21427
1283,63570
1337,44115
1343,4445
1319,3607
1323,8540
2085,9328669
1321,25649
1633,343
1613,111435
2285,437
2403,91286
1143,8912
2203,38230
1072,779
910,4059
1034,179
1012,34
148,57931
150,61355
206,108187
208,76912
210,119207
212,44366
214,4570
2436,9689
100,35226
1365,28457
2433,13668
1341,2656
565,2
2281,9361
2029,271683
2059,3718780
1635,1784
155,14194
1063,20586
1047,13865
43,44508
1411,7962
204,42624
992,916
310,9729
282,31573
312,608
308,9309
994,76
280,7660
278,12685
750,17
430,1780
306,566
304,1152
1071,13035
1033,1375
147,343
209,117658
207,47220
1425,970
761,13660
2391,5137
1175,526
1177,839
1181,1177
547,1709
759,19696
531,4615
549,5640
2602,1844
2051,1518893
2345,14816
2346,20168
2041,39042
2042,66718
2125,1550712
2126,1445493
2117,2057168
2086,8647105
2093,5080209
2094,4756136
2109,1879165
1677,19361
2575,7
2599,6142
1695,5682
2243,64
1665,1456
46,32874
48,780
1328,13281
1330,69504
1416,41248
2230,1345
2214,35964
522,6589
526,659
2282,18545
777,3
551,3258
553,216
1359,19202
949,2793
1401,17373
1689,47427
1699,18497
1667,44161
1663,8205
