region,count
0,25021194
247,8
275,1016
277,367
279,75
305,1287
307,505
303,810
723,105
725,149
309,62
281,432
729,115
203,2045
205,2560
249,172
751,3
749,1
991,41
727,19
231,59
233,126
899,189
833,6438
1121,1291
2481,22
573,93
425,2
2433,1067
731,72
423,5
437,129
435,76
367,1
2387,337
439,23
1071,823
2491,641
909,178
395,22
397,1
93,1953
91,715
105,597
107,1918
109,1552
1019,355
2145,1596203
2153,986087
111,726
209,2751
211,2338
253,99
257,1
2377,1247023
915,6143
1011,547
1007,373
1025,100
2177,584969
2185,128952
149,5863
147,2429
151,4316
207,1450
1147,2098
241,6
239,399
223,133
225,43
213,703
2397,812
949,3690
1089,257
1033,37
1029,11
153,4823
155,4436
889,658
99,1348
97,2519
113,757
2379,1376
2399,69
2587,17
95,1755
1123,65
1129,47
563,142
575,74
759,2982
577,117
579,306
1119,1035
1115,123
2389,20
1111,106
331,1
333,11
335,4
363,10
359,1
1017,4494
993,251
219,61
217,56
221,31
365,41
421,296
419,5
417,18
393,14
389,3
391,2
387,1
715,209
251,454
337,99
339,2
834,3162
1122,504
890,2974
1148,10039
2434,2311
2588,27
2496,47
148,1988
150,4372
152,3664
2178,396399
100,1870
98,2615
102,73
2380,2005
2398,4955
114,2219
116,308
212,6873
154,9277
156,4731
96,2437
1020,1832
1018,11191
2378,1105600
954,1845
950,2804
916,6082
2146,1436215
362,324
380,1794
366,235
364,137
378,1122
422,11
394,186
392,22
390,29
1026,648
106,948
108,4278
110,1804
208,4257
714,270
712,99
716,73
336,69
338,171
1112,174
900,491
866,106
1030,224
40,2464
42,16451
562,642
564,1064
218,374
220,708
222,314
224,1030
566,633
226,1168
568,368
228,265
2388,317
1116,30
570,9
1144,2559
1120,708
586,82
2390,5
1128,106
1124,3
1194,56
1130,343
1138,255
760,2786
2404,846
2492,401
936,5583
1090,108
2186,116813
158,204
210,7082
214,3259
44,10929
112,1888
2400,1206
2394,1635
92,403
94,1820
2510,93
438,7
1012,1
2154,889988
192,1100
190,46
1072,377
710,67
332,10
376,2476
360,157
374,2814
1630,110220
1614,289991
2086,2970279
2030,135563
2094,977505
1678,28039
1684,110
1613,209131
1686,36
1764,341
1716,6
2052,357273
2346,36480
2042,23694
2126,545946
2118,880136
2602,22641
1860,374
1824,4217
1768,10761
1818,303
2117,912018
2600,515
2244,61
1696,233
2243,16
2601,25674
1677,23111
1641,4
1642,1
456,518
455,450
467,322
457,180
469,103
468,666
470,33
1,62837
2,96142
2599,560
458,982
51,564
2594,6282
1426,83
2060,1236860
2102,335027
54,8522
654,457
653,100
656,550
672,572
668,954
674,1103
1620,327
1668,3127
1670,979
1664,403
1666,69
2284,17
667,1059
1622,209
1178,269
1182,285
1508,439
2511,275
483,66
479,25
480,389
484,730
485,420
2604,4198
2008,36551
1682,55
1654,4151
2242,256
1710,11
1760,50
2562,109
1714,20
1759,31
2458,1
1762,162
2460,716
1718,66
1720,26
1822,15
1441,808
1283,1639
1442,413
1431,13251
1432,10390
1565,431
1503,60
1515,3705
1566,403
1465,839
1466,194
1479,2672
1480,4567
800,101
799,30
1143,1502
1236,674
1235,1254
1177,90
1767,10551
1826,2971
1825,2420
2276,666
1872,7086
2275,811
1871,9288
2416,699
2415,434
761,4617
2213,2006
1585,13888
1586,12775
1541,7839
1542,4316
1562,1114
1549,117
1561,5883
1532,1569
1536,563
1531,611
1487,315
2203,1436
1471,159
2224,230
1488,184
2223,473
2486,71
1501,11
1502,60
531,5
1389,10519
1391,173
1390,6355
1284,1607
1392,122
1382,1179
1540,1652
1539,605
1535,2082
1537,352
2320,834
1838,1068
1837,753
2319,699
2023,127
1828,2729
2024,48
1827,1511
1952,786
1970,609
2025,86
2505,828
2204,1818
2485,162
1385,37
1386,47
1955,284
1956,105
2418,10
2026,172
2028,18
2027,55
1745,182
1746,1252
1752,2006
1750,528
2464,145
2463,47
1744,219
1754,144
1740,300
1748,168
1739,194
1650,91
1747,193
1761,87
1742,28
2352,208
1852,1568
1851,1449
2351,507
1370,161
1398,151
1302,86
1369,77
1311,45
1312,29
1308,30
1397,145
1362,126
1372,554
1395,219
2391,150
2016,20
1976,196
1992,1
1948,177
535,2
1866,13
1865,32
1932,68
2603,3038
1984,216
1951,537
1239,679
1240,799
2512,206
2593,3089
1695,206
2232,23
2196,122637
2110,546215
52,2427
1554,686
1504,149
1505,54
1506,184
1464,2
1463,8
1599,295
1575,826
1467,633
1468,250
1237,1917
1238,2437
1218,1472
1477,1754
1478,711
1489,1979
1475,345
1492,18
2233,497
811,589
1227,2861
910,147
1624,64
1361,23
1396,99
1380,883
1379,718
1864,3044
2459,423
1743,272
1756,1698
1741,27
2506,419
1404,335
1712,13
1722,91
1862,175
1832,66
1507,41
1994,2642
1993,3442
1898,971
1876,178
1875,66
1892,15
1890,172
2292,37
537,7
1490,1831
1553,436
578,403
580,31
576,310
574,85
582,1
204,1868
206,5683
236,163
238,1372
240,893
1002,146
994,236
242,77
2436,274
312,232
256,9
310,223
314,4
1008,48
732,33
742,1
436,15
254,1114
252,298
258,11
284,865
286,372
282,1191
334,45
416,2
730,409
728,137
724,61
420,6
430,15
432,12
250,695
296,7
434,11
298,7
294,4
280,857
1195,56
1197,151
1193,16
587,398
589,589
1139,389
1127,57
591,33
567,98
2217,832
865,38
2199,85560
2169,901371
2029,108638
2161,1704246
953,1215
935,2705
1063,179
1047,1778
2135,1608590
2085,2452932
39,1250
41,6765
161,456
163,2079
165,1193
167,1669
169,883
191,371
195,395
197,173
193,198
199,45
101,18
115,40
697,253
379,907
375,1201
381,158
377,926
383,7
189,197
175,4
177,584
709,488
711,122
699,799
701,193
713,214
2509,178
717,11
2393,738
1407,683
2435,325
1415,35
2359,17402
1885,10499
2605,11624
1883,16644
43,3543
45,1139
157,100
951,1375
1135,841
1131,167
855,1266
1199,26
1221,182
1107,431
565,296
2235,280
2403,857
2519,4
227,3
1055,388
1137,104
877,357
1153,752
695,22
373,62
719,1
585,39
561,116
295,57
433,25
429,21
431,62
283,454
285,29
313,158
311,536
755,27
743,14
741,4
733,44
237,405
1001,550
235,141
289,6
753,4
739,7
401,18
1201,2547
1187,364
851,4
2521,6
849,155
1155,1595
1151,1081
47,80
171,24
1323,81
1343,27
1319,11
1771,9161
2281,56290
1329,599
1327,20
2361,10182
2197,57387
2059,1092173
1331,1
2285,12745
1631,211533
135,1490
137,501
133,75
139,135
179,143
181,70
183,263
1779,353
1783,488
1299,302
1321,61
1405,456
53,2354
1313,4
925,10
2405,800
2255,411
2271,374
1217,452
1223,67
2259,470
1605,5924
1645,827
1295,552
2425,80
2488,1137
676,940
1692,26
1628,13935
1632,248067
460,830
56,9636
660,772
662,398
678,179
2170,550348
762,11269
2214,2838
1152,878
1228,1743
1496,327
1472,87
1476,398
1576,917
1564,97
1500,4
1516,3107
1438,103
782,1980
812,425
822,43
548,162
550,107
1292,1902
2560,1470
2526,392
1648,617
1758,40
