,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile,swc1891_42k_length,swc1891_gsfile,swc1891_gs_length,ESA_gs,ESA_reon,ESA,DSA_gs,DSA_recon,DSA,PDS_gs,PDS_recon,PDS
43643,18465,"[24624.963, 12911.476, 5379.248]","[24625.0, 12911.48, 5379.24]",0.0380657326214578,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00125.swc,[24611.199 12908.672  5379.504],14.0490443803121,,"[286.829, 157.042, 155.017]","[286.637, 156.974, 155.062]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_12312.5_Y_6455.74_Z_2689.62.v3dpbd.swc,13211.137425368901,./adapt_box/18465/18465_00125.swc,13960.358265311545,6.584181353962482,34.93549357189126,20.759837462926868,40.268983511161856,173.0360217721527,106.65250264165728,0.10171826,0.19400711,0.14786268770694733
43647,18465,"[25290.93, 12815.416, 5214.402]","[25291.0, 12815.42, 5214.4]",0.0701427116667683,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00128.swc,[25281.6   12809.728  5218.08 ],11.5295241879287,,"[278.941, 157.953, 145.364]","[278.686, 157.988, 145.427]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_12645.5_Y_6407.71_Z_2607.2.v3dpbd.swc,7277.536793177597,./adapt_box/18465/18465_00128.swc,10005.819714628222,19.61259317114864,28.806800920776546,24.209697045962592,54.862316920801206,124.33901880438427,89.60066786259273,0.31437615,0.22064716,0.26751166582107544
43652,18465,"[25540.584, 12995.601, 5765.979]","[25540.6, 12995.6, 5765.98]",0.0160623784038008,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00132.swc,[25539.008 13006.016  5759.328],12.457600170176022,,"[304.816, 162.422, 143.234]","[304.68, 162.135, 143.252]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_12770.3_Y_6497.8_Z_2882.99.v3dpbd.swc,21891.757234053635,./adapt_box/18465/18465_00132.swc,21505.84745983209,6.862037162887418,32.21880092777652,19.54041904533197,60.974287393763774,154.68481518975517,107.82955129175947,0.070571765,0.19808848,0.1343301236629486
43653,18465,"[26185.676, 12497.46, 5524.508]","[26185.6, 12497.46, 5524.5]",0.0764198926990776,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00133.swc,[26180.992 12499.968  5519.008],7.647216487063678,,"[291.72, 157.37, 134.039]","[291.486, 157.303, 134.085]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_13092.8_Y_6248.73_Z_2762.25.v3dpbd.swc,8399.831062515223,./adapt_box/18465/18465_00133.swc,9354.038994329676,3.3516925695846598,2.60232224468947,2.977007407137065,35.11854946758305,49.68933722926596,42.403943348424505,0.028209053,0.0180515,0.023130275309085846
43676,18465,"[7907.132, 14722.42, 3758.319]","[7907.14, 14722.42, 3758.32]",0.0080622577490385,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00154.swc,[ 7900.928 14714.688  3744.912],16.673964405623522,,"[197.035, 201.89, 353.323]","[196.571, 201.795, 353.469]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_3953.57_Y_7361.21_Z_1879.16.v3dpbd.swc,8184.95633003588,./adapt_box/18465/18465_00154.swc,17686.063330204488,19.351881959561677,2.189147743346398,10.770514851454038,42.4749769717464,31.472987728521844,36.97398235013412,0.39757013,0.01790387,0.207736998796463
43679,18465,"[7798.085, 13870.032, 3979.297]","[7798.08, 13870.04, 3979.3]",0.0098994949380312,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00157.swc,[ 7793.984 13867.584  3977.872],4.984127807349083,,"[212.735, 192.314, 352.567]","[212.595, 192.208, 352.695]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_3899.04_Y_6935.02_Z_1989.65.v3dpbd.swc,10583.684083319884,./adapt_box/18465/18465_00157.swc,19956.89857517,15.962825713242525,1.5472985896246791,8.755062151433602,45.11792609872206,0.0,22.55896304936103,0.29504743,0.0,0.14752371609210968
43683,18465,"[7638.183, 16355.462, 4084.735]","[7638.18, 16355.46, 4084.74]",0.0061644140026756,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00161.swc,[ 7632.896 16348.032  4086.896],9.371616189324408,,"[216.644, 220.377, 353.845]","[216.308, 220.291, 353.967]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_3819.09_Y_8177.73_Z_2042.37.v3dpbd.swc,11960.898201375474,./adapt_box/18465/18465_00161.swc,19615.54174569391,11.265387066632432,1.7444631705788445,6.504925118605638,36.40678010436289,41.26391447809645,38.83534729122967,0.23599899,0.0038628227,0.11993090808391571
43697,18465,"[12888.491, 14302.551, 5005.816]","[12888.5, 14302.56, 5005.82]",0.0133416640641176,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00175.swc,[12882.176 14289.216  5003.584],14.922575984057948,,"[264.95, 186.637, 283.639]","[264.804, 186.638, 283.834]",629,VAL,629,VAL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_6444.25_Y_7151.28_Z_2502.91.v3dpbd.swc,17983.022295577204,./adapt_box/18465/18465_00175.swc,22121.19383017756,5.760049135257772,1.7835385699574504,3.771793852607611,40.964499806264946,25.19148512338911,33.07799246482703,0.08609805,0.0013702043,0.04373412951827049
43699,18465,"[12146.529, 14979.067, 5034.526]","[12146.52, 14979.06, 5034.52]",0.0128840987262439,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00177.swc,[12140.992 14973.184  5039.776],9.634861597345376,,"[266.518, 197.555, 292.337]","[266.3, 197.479, 292.355]",629,VAL,629,VAL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_6073.26_Y_7489.53_Z_2517.26.v3dpbd.swc,21399.526618977005,./adapt_box/18465/18465_00177.swc,23064.11072257508,3.3067704663285533,4.9455160944548195,4.126143280391687,34.5120806744482,58.120888075708734,46.31648437507847,0.03509593,0.057564843,0.04633038491010666
43739,18465,"[12273.353, 19534.975, 3536.91]","[12273.36, 19534.98, 3536.9]",0.0131909059592365,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18465/18465_00213.swc,[12269.184 19531.328  3537.904],5.627539959874014,,"[173.903, 269.13, 295.774]","[173.721, 269.057, 295.826]",342,SI,342,SI,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord//50k_0602/18465/Img_X_6136.68_Y_9767.49_Z_1768.45.v3dpbd.swc,7096.690481443524,./adapt_box/18465/18465_00213.swc,14486.977183644703,29.15315768005767,9.530656423511557,19.341907051784613,66.80009674271493,160.00981682319417,113.40495678295454,0.402983,0.04924481,0.2261139154434204
