file,compare,region,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
./adapt_box/17109/17109_2601_x9296_y24691.swc,manual,MOp5,4967,12.5664,5,59,121,63,727.132,551.162,175.288,1.9996,10573.7,66436.5,33218.3,549.335,594.196,11,0.951211,40.0413,1,61.7913,62.0936,1.13351
./adapt_box/17109/17109_2601_x9296_y24691.swc,recons,MOp5,424,1017.88,5,37,77,41,728,568,176,2.49481,7406.03,53592.4,38815.4,550.81,599.018,8,0.9416,4.49351,0.950307,57.1617,58.5445,1.31998
./adapt_box/17109/17109_3701_x9228_y26684.swc,manual,SSs5,8872,12.5664,9,60,127,68,882.343,839.625,357.523,1.99977,19545.8,122810,61404.9,647.655,1280.83,9,0.90775,68.8504,1,85.4141,80.4684,1.13282
./adapt_box/17109/17109_3701_x9228_y26684.swc,recons,SSs5,522,1520.53,4,37,76,40,883.04,840,358,2.94138,9254.43,79238.9,70779.1,608.243,972.16,8,0.941329,5.85526,0.875349,55.8903,55.6945,1.24059
./adapt_box/17109/17109_4772_x9038_y27257.swc,manual,SSs6a,5285,12.5664,8,46,98,53,1021.67,733.936,357.552,1.99962,12516.7,78644.8,39322.4,604.55,1130.55,14,0.905589,52.9184,1,83.0507,59.1599,1.15793
./adapt_box/17109/17109_4772_x9038_y27257.swc,recons,SSs6a,629,1256.64,8,44,94,51,1022,737,359.56,2.83561,11014,89912.3,81908.3,606.52,752.767,12,0.947125,5.68085,0.849634,52.2637,55.1128,1.27762
./adapt_box/17109/17109_6301_x4756_y24516.swc,manual,VISp6a,6769,12.5664,5,58,119,62,419.696,899.402,427.775,1.9997,15995.3,100501,50250.7,517.11,1093.97,11,0.930419,55.8739,1,83.7565,84.7048,1.09185
./adapt_box/17109/17109_6301_x4756_y24516.swc,recons,VISp6a,407,1809.56,5,37,77,41,420,900,428,3.96708,6919.39,77491.1,91220.6,516.871,775.403,7,0.946687,4.27273,0.914382,56.5523,65.9669,1.20387
./adapt_box/17109/17109_6601_x5417_y25287.swc,manual,VISl5,5404,12.5664,6,41,86,46,993.515,946.314,379.22,1.99963,12712.4,79874.1,39937,641.939,1188.7,8,0.914268,61.8256,1,84.0392,85.2127,1.14109
./adapt_box/17109/17109_6601_x5417_y25287.swc,recons,VISl5,533,1520.53,4,38,79,42,996,948,380,3.19587,9425.54,85011.8,82335.5,706.232,768.036,8,0.93402,5.73418,0.964272,59.7258,74.7688,1.26979
./adapt_box/17109/17109_6901_x7203_y26714.swc,manual,VISpor5,5197,12.5664,7,43,91,49,723.963,685.168,278.928,1.99962,11429.9,71815.9,35908,667.34,1099.24,11,0.910353,56.0989,1,79.2502,64.8412,1.11259
./adapt_box/17109/17109_6901_x7203_y26714.swc,recons,VISpor5,805,1256.64,6,64,135,72,724,686,418,3.64845,13969.9,147370,166817,698.642,1034.69,16,0.908944,4.95556,0.894151,46.5205,63.2168,1.34675
./adapt_box/17300/17300_3514_x19676_y45282.swc,manual,SSs4,13946,12.5664,10,83,174,92,1020.93,1014.44,271.216,1.99986,31605.8,198585,99292.5,714.196,2200.04,9,0.924647,79.1437,1,70.3297,68.6241,1.19881
./adapt_box/17300/17300_3514_x19676_y45282.swc,recons,SSs4,752,5026.55,5,53,109,57,1021.68,1015.2,271.62,3.27952,13042.9,117545,181817,656.14,865.698,11,0.93465,5.88991,0.920371,56.5988,63.7975,1.26287
./adapt_box/17302/17302_00002.swc,manual,CLA,6671,12.5664,3,46,93,48,1004.87,820.897,201.71,1.9997,14527,91275.5,45637.8,581.911,1346.91,10,0.870867,70.7204,1,68.3637,72.3916,1.10572
./adapt_box/17302/17302_00002.swc,recons,CLA,597,3216.99,3,38,77,40,1010,822.22,214,4.45762,10586.8,140807,215708,603.371,1296.79,8,0.93035,6.74026,0.907636,50.4259,60.7208,1.37662
