,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
5502,15257,"[13261.242, 25519.086, 2289.98]","[13261.24, 25519.0, 2289.98]",0.0860232526697665,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//15257/210254_2309_x13266_y25533.swc,[13263.808 25518.4    2294.128],4.925531037360529,,"[134.171, 163.263, 126.921]","[133.948, 163.407, 126.948]",1101,AId5,1101,AId5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/150k_0602/15257/Img_X_6630.62_Y_12759.5_Z_1144.99.v3dpbd.swc
5869,15257,"[16399.938, 21559.73, 4018.632]","[16399.94, 21559.8, 4018.64]",0.0704840407465254,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//15257/210254_4021_x16401_y21556.swc,[16402.305 21557.695  4020.896],3.856113328211384,,"[219.038, 67.394, 195.256]","[218.852, 67.539, 195.316]",1021,MOs6a,1021,MOs6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/150k_0602/15257/Img_X_8199.97_Y_10779.9_Z_2009.32.v3dpbd.swc
6901,17109,"[6760.03, 6208.625, 4161.819]","[6760.02, 6208.62, 4161.82]",0.0112249721596917,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_4101_x6753_y6197.swc,[6758.784 6199.168 4163.6  ],9.703572847153072,,"[241.42899999999997, 124.773, 85.207]","[241.207, 124.714, 85.073]",889,SSp-n6a,889,SSp-n6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3380.01_Y_3104.31_Z_2080.91.v3dpbd.swc
6904,17109,"[6624.767, 5736.219, 4766.702]","[6624.76, 5736.22, 4766.7]",0.0073484692281138,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_4764_x6621_y5727.swc,[6621.312 5731.904 4770.304],6.597776443620612,,"[272.094, 119.564, 78.668]","[271.882, 119.508, 78.554]",862,SSs6a,862,SSs6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3312.38_Y_2868.11_Z_2383.35.v3dpbd.swc
6928,17109,"[9502.57, 8169.406, 2696.72]","[9502.58, 8169.4, 2696.72]",0.0116619037900387,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_2601_x9498_y8169.swc,[9504.256 8167.808 2700.528],4.460612513993877,,"[166.198, 186.175, 105.797]","[166.074, 186.137, 105.677]",783,AId6a,783,AId6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4751.29_Y_4084.7_Z_1348.36.v3dpbd.swc
7036,17109,"[6700.426, 12555.309, 1848.529]","[6700.42, 12555.3, 1848.53]",0.0108627804913829,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_1801_x6698_y12550.swc,[ 6704.448 12550.08   1853.408],8.205093905616916,,"[119.827, 138.101, 167.637]","[119.57400000000001, 138.048, 167.466]",440,ORBl6a,440,ORBl6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3350.21_Y_6277.65_Z_924.265.v3dpbd.swc
7139,17109,"[4327.526, 6755.937, 6290.781]","[4327.52, 6755.94, 6290.78]",0.0067823299824955,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6601_x4384_y7436.swc,[4332.288 6759.68  6296.272],8.175437236013746,,"[351.004, 71.322, 101.197]","[350.774, 71.238, 101.115]",33,VISp6a,33,VISp6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2163.76_Y_3377.97_Z_3145.39.v3dpbd.swc
7142,17109,"[6998.252, 4289.678, 6541.397]","[6998.26, 4289.68, 6541.4]",0.0087749643872105,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6501_x6997_y4287.swc,[6999.232 4289.024 6542.176],1.4124294672652675,,"[366.07, 121.363, 62.815]","[365.899, 121.297, 62.709]",729,TEa6a,729,TEa6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3499.13_Y_2144.84_Z_3270.7.v3dpbd.swc
7148,17109,"[7647.286, 3977.741, 6436.184]","[7647.28, 3977.74, 6436.18]",0.0072801098895143,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6401_x7989_y3767.swc,[7644.288 3978.944 6434.816],3.508081669517405,,"[361.183, 131.084, 58.278]","[361.01, 131.012, 58.171]",729,TEa6a,729,TEa6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3823.64_Y_1988.87_Z_3218.09.v3dpbd.swc
7149,17109,"[7812.535, 4105.141, 6498.83]","[7812.54, 4105.14, 6498.84]",0.011224972160502,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6401_x7641_y3978.swc,[7808.768 4104.    6501.536],4.776463754703737,,"[363.725, 133.779, 61.336]","[363.553, 133.709, 61.234]",786,TEa6b,786,TEa6b,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3906.27_Y_2052.57_Z_3249.42.v3dpbd.swc
7190,17109,"[6206.511, 5193.867, 7064.245]","[6206.52, 5193.86, 7064.24]",0.0124498995983335,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_7001_x6205_y5194.swc,[6203.84  5191.296 7063.616],3.76030889688612,,"[390.32, 108.929, 77.367]","[390.15, 108.867, 77.287]",312782644,VISpor5,312782644,VISpor5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3103.26_Y_2596.93_Z_3532.12.v3dpbd.swc
7198,17109,"[5739.229, 6478.264, 7050.017]","[5739.22, 6478.26, 7050.02]",0.010295630141141,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_7001_x5738_y6470.swc,[5743.808 6480.64  7052.464],5.709678274649019,,"[389.244, 99.682, 99.977]","[389.081, 99.621, 99.896]",579,ec,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2869.61_Y_3239.13_Z_3525.01.v3dpbd.swc
7200,17109,"[7433.063, 4408.293, 6891.798]","[7433.06, 4408.3, 6891.8]",0.0078740078744608,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6801_x7432_y4405.swc,[7433.984 4408.448 6895.136],3.4661953205214844,,"[381.187, 128.104, 66.94]","[381.019, 128.038, 66.862]",312782648,VISpor6a,312782648,VISpor6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3716.53_Y_2204.15_Z_3445.9.v3dpbd.swc
7293,17109,"[8052.565, 22278.762, 1778.175]","[8052.56, 22278.8, 1778.176]",0.0383405790257181,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_1701_x8048_y22277.swc,[ 8055.04  22281.729  1780.016],4.279952686655021,,"[112.69800000000001, 159.585, 311.783]","[112.459, 159.569, 311.742]",1101,AId5,1101,AId5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4026.28_Y_11139.4_Z_889.088.v3dpbd.swc
7299,17109,"[8052.368, 23306.197, 2277.242]","[8052.36, 23306.2, 2277.24]",0.0087749643883506,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_2201_x8046_y23301.swc,[ 8045.632 23305.408  2275.744],6.9455180512336,,"[139.28, 151.731, 325.057]","[139.052, 151.718, 325.034]",844,MOp6a,844,MOp6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4026.18_Y_11653.1_Z_1138.62.v3dpbd.swc
7365,17109,"[9300.97, 24694.863, 2690.136]","[9300.96, 24694.8, 2690.14]",0.0639140047270207,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_2601_x9296_y24691.swc,[ 9300.544 24693.377  2689.952],1.5567684477795,,"[159.932, 165.694, 348.35]","[159.707, 165.68, 348.287]",648,MOp5,648,MOp5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4650.48_Y_12347.4_Z_1345.07.v3dpbd.swc
7417,17109,"[9240.353, 26696.715, 3736.697]","[9240.36, 26696.8, 3736.7]",0.0853404944904219,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_3701_x9228_y26684.swc,[ 9235.264 26692.48   3735.904],6.6679828284125415,,"[211.716, 150.83, 381.624]","[211.511, 150.796, 381.559]",1090,SSs5,1090,SSs5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4620.18_Y_13348.4_Z_1868.35.v3dpbd.swc
7426,17109,"[9041.736, 27262.531, 4775.962]","[9041.74, 27262.6, 4775.96]",0.06914477565171,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_4772_x9038_y27257.swc,[ 9041.088 27264.896  4777.248],2.7689212700990145,,"[262.582, 139.745, 388.98]","[262.382, 139.698, 388.911]",862,SSs6a,862,SSs6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_4520.87_Y_13631.3_Z_2387.98.v3dpbd.swc
7454,17109,"[4760.075, 24527.84, 6358.228]","[4760.08, 24527.8, 6358.22]",0.0410974451768952,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6301_x4756_y24516.swc,[ 4758.4   24528.576  6360.016],2.5581761080895467,,"[344.466, 61.167, 343.328]","[344.264, 61.111, 343.242]",33,VISp6a,33,VISp6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2380.04_Y_12263.9_Z_3179.11.v3dpbd.swc
7455,17109,"[5421.198, 25294.283, 6633.771]","[5421.2, 25294.2, 6633.78]",0.0835104783831686,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6601_x5417_y25287.swc,[ 5421.248 25290.881  6634.832],3.563961980716002,,"[358.457, 73.8, 358.868]","[358.244, 73.715, 358.769]",613,VISl5,613,VISl5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_2710.6_Y_12647.1_Z_3316.89.v3dpbd.swc
7477,17109,"[6944.282, 26611.246, 6871.797]","[6944.28, 26611.2, 6871.8]",0.0461410879787569,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17109/17109_6901_x7203_y26714.swc,[ 6940.032 26610.881  6872.272],4.292010018627503,,"[369.924, 102.319, 384.072]","[369.733, 102.273, 383.992]",312782644,VISpor5,312782644,VISpor5,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17109/Img_X_3472.14_Y_13305.6_Z_3435.9.v3dpbd.swc
16473,17300,"[19678.191, 45296.512, 3510.702]","[19678.2, 45296.6, 3510.7]",0.0884816365092116,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17300/17300_3514_x19676_y45282.swc,[19683.008 45294.398  3512.464],5.547713853474353,,"[218.101, 149.997, 399.107]","[217.911, 150.101, 399.084]",1035,SSs4,1035,SSs4,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17300/Img_X_9839.1_Y_22648.3_Z_1755.35.v3dpbd.swc
16662,17300,"[24858.023, 27312.148, 5893.891]","[24858.0, 27312.2, 5893.9]",0.0575673518586287,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17300/17300_5896_x24862_y27320.swc,[24862.721 27319.809  5896.352],9.317652386733746,,"[332.217, 64.522, 218.217]","[332.036, 64.637, 218.184]",542,RSPv1,542,RSPv1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17300/Img_X_12429_Y_13656.1_Z_2946.95.v3dpbd.swc
17969,17302,"[14954.168, 17059.873, 3037.551]","[14954.16, 17059.88, 3037.56]",0.0139283882778015,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00018.swc,[14958.912 17061.889  3044.   ],8.255870214580957,,"[206.949, 210.979, 346.419]","[206.757, 211.071, 346.477]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_7477.08_Y_8529.94_Z_1518.78.v3dpbd.swc
17973,17302,"[16198.018, 15606.103, 2946.776]","[16198.02, 15606.1, 2946.78]",0.0053851648068804,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00002.swc,[16201.024 15609.024  2952.   ],6.697645332503035,,"[199.723, 200.524, 362.46]","[199.529, 200.623, 362.518]",583,CLA,583,CLA,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8099.01_Y_7803.05_Z_1473.39.v3dpbd.swc
17974,17302,"[16232.062, 15506.041, 3057.202]","[16232.06, 15506.04, 3057.2]",0.0030000000000048,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00001.swc,[16233.984 15505.024  3063.008],6.199839433404439,,"[204.847, 198.998, 363.431]","[204.655, 199.095, 363.481]",583,CLA,583,CLA,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8116.03_Y_7753.02_Z_1528.6.v3dpbd.swc
17976,17302,"[17148.578, 16359.49, 2909.214]","[17148.58, 16359.5, 2909.22]",0.0118321595663806,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00005.swc,[17153.023 16361.984  2914.   ],6.991699149706096,,"[197.362, 189.386, 353.458]","[197.17, 189.479, 353.51]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8574.29_Y_8179.75_Z_1454.61.v3dpbd.swc
17977,17302,"[16412.396, 15063.9, 3090.5]","[16412.4, 15063.9, 3090.5]",0.0040000000008149,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00003.swc,[16414.977 15068.992  3096.   ],7.927170049897815,,"[205.482, 197.28, 368.628]","[205.29, 197.38, 368.68]",583,CLA,583,CLA,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8206.2_Y_7531.95_Z_1545.25.v3dpbd.swc
17979,17302,"[17124.346, 15560.448, 3163.817]","[17124.34, 15560.44, 3163.82]",0.010440306509513,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00006.swc,[17114.432 15565.376  3168.992],12.22101489238983,,"[208.633, 187.893, 362.848]","[208.445, 187.99, 362.9]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8562.17_Y_7780.22_Z_1581.91.v3dpbd.swc
17980,17302,"[17006.334, 15669.621, 3199.203]","[17006.34, 15669.62, 3199.2]",0.0067823299840376,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00007.swc,[16998.912 15661.12   3203.008],11.90928671247575,,"[210.647, 188.614, 361.525]","[210.46, 188.71, 361.575]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8503.17_Y_7834.81_Z_1599.6.v3dpbd.swc
17989,17302,"[16476.016, 14199.909, 4570.509]","[16476.02, 14199.9, 4570.5]",0.0133416640643902,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00017.swc,[16477.824 14183.808  4580.464],19.016127103066005,,"[274.972, 187.588, 380.315]","[274.769, 187.644, 380.35]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8238.01_Y_7099.95_Z_2285.25.v3dpbd.swc
18027,17302,"[14990.233, 21966.219, 4343.13]","[14990.24, 21966.2, 4343.12]",0.0225831795814431,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00020.swc,[14992.768 21956.225  4341.024],10.523378592450552,,"[270.735, 190.519, 300.679]","[270.548, 190.608, 300.721]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_7495.12_Y_10983.1_Z_2171.56.v3dpbd.swc
18028,17302,"[15596.086, 22232.418, 4276.77]","[15596.08, 22232.4, 4276.78]",0.0214476105890624,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00021.swc,[15595.584 22231.615  4279.008],2.430114606349996,,"[267.016, 181.806, 298.215]","[266.83, 181.904, 298.255]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_7798.04_Y_11116.2_Z_2138.39.v3dpbd.swc
18029,17302,"[16497.904, 22984.049, 4809.759]","[16497.9, 22984.0, 4809.76]",0.0491731634114234,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00054.swc,[16491.008 22988.992  4806.   ],9.279986314642487,,"[291.94, 163.291, 289.599]","[291.744, 163.385, 289.649]",733,VPM,733,VPM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8248.95_Y_11492_Z_2404.88.v3dpbd.swc
18030,17302,"[15034.036, 27058.029, 4032.096]","[15034.04, 27058.0, 4032.1]",0.0295465734041432,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00023.swc,[15030.016 27059.008  4032.992],4.233397807909117,,"[257.743, 183.141, 251.446]","[257.55, 183.256, 251.469]",1104,AMv,1104,AMv,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_7517.02_Y_13529_Z_2016.05.v3dpbd.swc
18046,17302,"[17124.164, 20210.365, 5686.525]","[17124.16, 20210.4, 5686.52]",0.0355808937491503,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00035.swc,[17128.576 20214.08   5690.208],6.84335137195244,,"[334.719, 161.822, 314.275]","[334.507, 161.881, 314.268]",1079,MGv,1079,MGv,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8562.08_Y_10105.2_Z_2843.26.v3dpbd.swc
18066,17302,"[18334.381, 17946.275, 2395.767]","[18334.38, 17946.28, 2395.76]",0.008660254036038,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00030.swc,[18339.969 17942.016  2400.   ],8.202628481164691,,"[170.902, 179.105, 337.467]","[170.698, 179.188, 337.552]",783,AId6a,783,AId6a,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9167.19_Y_8973.14_Z_1197.88.v3dpbd.swc
18068,17302,"[18577.627, 20013.805, 2331.634]","[18577.62, 20013.8, 2331.64]",0.0104880884830577,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00033.swc,[18576.    20014.016  2332.   ],1.6809538958582513,,"[170.08, 173.686, 314.288]","[169.88, 173.766, 314.357]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9288.81_Y_10006.9_Z_1165.82.v3dpbd.swc
18078,17302,"[18864.396, 21543.619, 2298.749]","[18864.4, 21543.6, 2298.74]",0.0214009345593978,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00050.swc,[18872.    21545.984  2298.224],7.9805805553228675,,"[169.873, 168.678, 297.902]","[169.673, 168.76, 297.962]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9432.2_Y_10771.8_Z_1149.37.v3dpbd.swc
18086,17302,"[21564.564, 23444.02, 2361.646]","[21564.6, 23444.0, 2361.64]",0.0416173040936748,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00059.swc,[21571.393 23448.     2366.672],9.366766624615774,,"[171.563, 136.596, 281.742]","[171.352, 136.673, 281.789]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_10782.3_Y_11722_Z_1180.82.v3dpbd.swc
18087,17302,"[17722.262, 15948.357, 3047.57]","[17722.26, 15948.36, 3047.58]",0.0106301458127613,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00009.swc,[17723.328 15949.312  3054.304],6.884412611109551,,"[202.493, 182.248, 358.239]","[202.303, 182.343, 358.288]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8861.13_Y_7974.18_Z_1523.79.v3dpbd.swc
18088,17302,"[18237.908, 16472.086, 2979.15]","[18237.9, 16472.08, 2979.14]",0.0141421356217244,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00027.swc,[18236.031 16472.     2978.304],2.060640919714403,,"[198.659, 176.696, 351.928]","[198.47, 176.791, 351.974]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9118.95_Y_8236.04_Z_1489.57.v3dpbd.swc
18089,17302,"[18270.227, 16233.457, 3065.825]","[18270.22, 16233.46, 3065.82]",0.0091104335768573,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00010.swc,[18275.008 16230.016  3072.   ],8.533994785563953,,"[202.453, 175.655, 354.822]","[202.267, 175.751, 354.867]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9135.11_Y_8116.73_Z_1532.91.v3dpbd.swc
18090,17302,"[19234.252, 16197.908, 2912.532]","[19234.26, 16197.9, 2912.54]",0.0138564064591731,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00014.swc,[19230.912 16207.872  2908.992],11.08911610544319,,"[192.547, 166.902, 355.896]","[192.356, 166.998, 355.94]",579,ec,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9617.13_Y_8098.95_Z_1456.27.v3dpbd.swc
18092,17302,"[17704.125, 15510.212, 3213.758]","[17704.12, 15510.22, 3213.76]",0.0096436507614486,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00011.swc,[17695.871 15518.912  3218.   ],12.720577030938012,,"[209.854, 181.032, 363.477]","[209.671, 181.131, 363.525]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_8852.06_Y_7755.11_Z_1606.88.v3dpbd.swc
18094,17302,"[18088.627, 15784.275, 3106.094]","[18088.62, 15784.28, 3106.1]",0.0104880884830577,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00013.swc,[18082.176 15784.192  3110.32 ],7.712416352869771,,"[204.31, 177.787, 360.226]","[204.125, 177.886, 360.276]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9044.31_Y_7892.14_Z_1553.05.v3dpbd.swc
18095,17302,"[18983.92, 15764.577, 3253.717]","[18983.92, 15764.58, 3253.72]",0.0042426406873405,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//17302/17302_00015.swc,[18988.031 15755.008  3260.992],12.704003581548548,,"[209.007, 166.209, 361.165]","[208.817, 166.298, 361.196]",672,CP,672,CP,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/17302/Img_X_9491.96_Y_7882.29_Z_1626.86.v3dpbd.swc
