,brainid,raw_somaxyz,swc42k_raw_somaxyz,swc42k_raw_somaxyz_dist,swc1891_swcfile,swc1891_raw_somaxyz,swc1891_raw_somaxyz_dist,raw_somaregion,regi_somaxyz,swc42k_regi_somaxyz,regi_somaregion_n671_u32,regi_somaregion,regi_somaregion_n671_u32_check,regi_somaregion_check,swc1891_42kfile
41925,18458,"[28959.941, 14578.152, 5523.6]","[28960.0, 14578.16, 5523.6]",0.0595399025874872,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18458/18458_00583.swc,[28960.385 14566.272  5517.344],13.43387777225863,,"[287.371, 175.458, 131.078]","[287.165, 175.391, 131.052]",1092,em,0,,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18458/Img_X_14480_Y_7289.08_Z_2761.8.v3dpbd.swc
41926,18458,"[28219.303, 15153.508, 5428.131]","[28219.4, 15153.5, 5428.14]",0.0977445650678447,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18458/18458_00584.swc,[28215.871 15146.176  5429.92 ],8.290800262942586,,"[282.318, 182.845, 139.878]","[282.004, 182.672, 139.904]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18458/Img_X_14109.7_Y_7576.75_Z_2714.07.v3dpbd.swc
41930,18458,"[25076.625, 16165.21, 5166.813]","[25076.6, 16165.2, 5166.82]",0.0278208554871205,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18458/18458_00585.swc,[25066.111 16156.416  5156.704],17.03145657305883,,"[267.172, 203.975, 174.462]","[266.796, 203.911, 174.491]",685,VM,685,VM,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18458/Img_X_12538.3_Y_8082.6_Z_2583.41.v3dpbd.swc
41934,18458,"[27032.455, 15961.818, 5374.498]","[27032.4, 15961.82, 5374.5]",0.0550726792523777,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18458/18458_00586.swc,[27025.984 15952.     5371.008],12.265686487107132,,"[279.415, 195.9, 153.502]","[279.204, 195.844, 153.536]",718,VPL,718,VPL,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18458/Img_X_13516.2_Y_7980.91_Z_2687.25.v3dpbd.swc
42099,18461,"[7813.835, 3854.594, 3870.377]","[7813.84, 3854.6, 3870.38]",0.0083666002653603,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_3871_x7813_y3857.swc,[7813.44  3853.76  3871.328],1.325134710133316,,"[160.159, 81.5, 337.761]","[159.991, 81.371, 337.861]",943,MOp2/3,943,MOp2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_3906.92_Y_1927.3_Z_1935.19.v3dpbd.swc
42103,18461,"[10750.528, 3092.036, 2985.289]","[10750.52, 3092.04, 2985.28]",0.0126885775403107,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_2985_x10744_y3095.swc,[10752.512  3089.6    2982.848],3.978546593921389,,"[113.515, 68.095, 281.299]","[113.201, 68.06, 281.399]",656,MOs1,656,MOs1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_5375.26_Y_1546.02_Z_1492.64.v3dpbd.swc
42104,18461,"[5749.118, 4915.811, 4541.95]","[5749.12, 4915.82, 4541.96]",0.0136014705088317,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4545_x5749_y4914.swc,[5749.504 4914.88  4545.616],3.802014334533746,,"[194.127, 104.095, 378.575]","[194.057, 103.957, 378.665]",657,SSp-m2/3,657,SSp-m2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_2874.56_Y_2457.91_Z_2270.98.v3dpbd.swc
42105,18461,"[5600.746, 5783.202, 4389.827]","[5600.74, 5783.2, 4389.82]",0.0094339811327252,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_4388_x5599_y5781.swc,[5599.488 5781.696 4388.016],2.6702660916100958,,"[188.86, 124.672, 380.78]","[188.582, 124.547, 380.902]",950,SSp-m4,950,SSp-m4,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_2800.37_Y_2891.6_Z_2194.91.v3dpbd.swc
42113,18461,"[6341.979, 3281.929, 7133.657]","[6341.98, 3281.92, 7133.66]",0.0095393920140153,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_7132_x6338_y3287.swc,[6342.4   3280.832 7131.952],2.07067018136633,,"[334.972, 54.857, 368.1]","[335.003, 54.725, 368.206]",905,VISal2/3,905,VISal2/3,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_3170.99_Y_1640.96_Z_3566.83.v3dpbd.swc
42117,18461,"[11082.74, 1666.925, 6043.02]","[11082.74, 1666.926, 6043.02]",0.0009999999999763,/PBshare/SEU-ALLEN/Projects/fullNeurons/V2023_01_10/registration/S0_Unregistered//18461/18461_6043_x11080_y1667.swc,[11080.192  1667.584  6043.92 ],2.781471732734843,,"[276.008, 14.554, 277.762]","[275.755, 14.464, 277.824]",671,RSPagl1,671,RSPagl1,/PBshare/SEU-ALLEN/Users/yfliu/transtation/Research/platform/micro_environ/data/original/42k_local_morphology_gcoord/50k_0602/18461/Img_X_5541.37_Y_833.463_Z_3021.51.v3dpbd.swc
